impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
FDR+RO,32,8,Primary,62118,167829,2701.7772626291894,1.00000000000000000000
FDR+RO,32,8,FDR+RO,62130,167829,2701.2554321583775,.99980685659101887274
KuaFu+RO,32,256,Primary,61031,16672,273.172649964772,1.00000000000000000000
KuaFu+RO,32,256,KuaFu+RO,63049,4953,78.55794699360814,.28757617940060571088
FDR,32,4,Primary,61282,194287,3170.376293201919,1.00000000000000000000
FDR,32,4,FDR,61265,194287,3171.2560189341384,1.00027748306537168863
FDR+RO,32,32,Primary,61031,82710,1355.2129245793121,1.00000000000000000000
FDR+RO,32,32,FDR+RO,61382,82710,1347.4634257599948,.99428171125085534814
FDR+RO,32,1,Primary,62091,233464,3760.0296339244014,1.00000000000000000000
FDR+RO,32,1,FDR+RO,62401,233464,3741.3502988734153,.99503213089533813393
FDR,32,2,Primary,61118,214888,3515.9527471448673,1.00000000000000000000
FDR,32,2,FDR,61466,214888,3496.046594865454,.99433833338756383757
KuaFu,32,2,Primary,61395,215865,3516.00293183484,1.00000000000000000000
KuaFu,32,2,KuaFu,61160,215865,3529.5127534336166,1.00384238064094174298
FDR+RO,32,128,Primary,62120,29889,481.14938828074696,1.00000000000000000000
FDR+RO,32,128,FDR+RO,62451,29889,478.59922178988325,.99469984467822765368
FDR+RO,32,2,Primary,61171,214883,3512.8247045168464,1.00000000000000000000
FDR+RO,32,2,FDR+RO,61287,214883,3506.175861112471,.99810726581493627894
KuaFu+RO,32,8,Primary,61244,163568,2670.7595846123704,1.00000000000000000000
KuaFu+RO,32,8,KuaFu+RO,63830,125605,1967.805107316309,.73679604808079831618
FDR,32,32,Primary,62109,83894,1350.7543190197878,1.00000000000000000000
FDR,32,32,FDR,62280,83894,1347.0456005138085,.99725433526011552265
KuaFu+RO,32,16,Primary,62155,126643,2037.5351942723835,1.00000000000000000000
KuaFu+RO,32,16,KuaFu+RO,64165,74289,1157.7807215771838,.56822612185142377478
FDR,32,128,Primary,61108,29098,476.17333246056165,1.00000000000000000000
FDR,32,128,FDR,61330,29098,474.44969835317136,.99638023805641604795
KuaFu+RO,32,1,Primary,62225,231978,3728.051426275613,1.00000000000000000000
KuaFu+RO,32,1,KuaFu+RO,62384,231978,3718.5496281097717,.99745126955629639515
KuaFu+RO,32,32,Primary,61118,82968,1357.5051539644621,1.00000000000000000000
KuaFu+RO,32,32,KuaFu+RO,63198,38705,612.4402670970601,.45115133840080659550
FDR+RO,32,2,Primary,62174,216899,3488.5804355518385,1.00000000000000000000
FDR+RO,32,2,FDR+RO,62412,216899,3475.27719028392,.99618663077613283236
KuaFu,32,8,Primary,62302,167664,2691.1495618118197,1.00000000000000000000
KuaFu,32,8,KuaFu,64703,125970,1946.8958162681793,.72344393039137866981
FDR,32,8,Primary,62049,164542,2651.807442505117,1.00000000000000000000
FDR,32,8,FDR,62304,164542,2640.954031843862,.99590716486902911429
FDR+RO,32,64,Primary,62129,51322,826.0554652416746,1.00000000000000000000
FDR+RO,32,64,FDR+RO,62095,51322,826.5077703518801,1.00054754811176410718
FDR,32,256,Primary,62153,16973,273.08416327450004,1.00000000000000000000
FDR,32,256,FDR,63650,16960,266.4571877454831,.97573284569286573688
KuaFu,32,8,Primary,61112,164005,2683.679146485142,1.00000000000000000000
KuaFu,32,8,KuaFu,63428,116262,1832.9759727565113,.68300861343919953658
KuaFu+RO,32,2,Primary,61103,213946,3501.399276631262,1.00000000000000000000
KuaFu+RO,32,2,KuaFu+RO,61345,213946,3487.586600374929,.99605509821501353009
KuaFu+RO,32,128,Primary,64234,29228,455.0238191611919,1.00000000000000000000
KuaFu+RO,32,128,KuaFu+RO,67235,9964,148.19662378225627,.32568981565722762703
FDR+RO,32,256,Primary,61106,16827,275.3739403659215,1.00000000000000000000
FDR+RO,32,256,FDR+RO,62260,16803,269.88435592675876,.98006498206813582891
KuaFu,32,2,Primary,61085,214384,3509.6013751330115,1.00000000000000000000
KuaFu,32,2,KuaFu,61508,214384,3485.4653053261363,.99312284580867522044
FDR+RO,32,256,Primary,61102,16831,275.4574318352918,1.00000000000000000000
FDR+RO,32,256,FDR+RO,62603,16831,268.852930370749,.97602351325016373500
FDR+RO,32,8,Primary,61045,164115,2688.4265705626995,1.00000000000000000000
FDR+RO,32,8,FDR+RO,61126,164115,2684.864051303864,.99867486830481300850
FDR+RO,32,16,Primary,62277,128171,2058.079226680797,1.00000000000000000000
FDR+RO,32,16,FDR+RO,62602,128171,2047.3946519280535,.99480847257276133464
KuaFu,32,128,Primary,62167,30915,497.28955876912187,1.00000000000000000000
KuaFu,32,128,KuaFu,63721,9834,154.32902810690354,.31034037490932791818
FDR,32,32,Primary,62134,83612,1345.6722567354427,1.00000000000000000000
FDR,32,32,FDR,62453,83612,1338.7987766800634,.99489215890349546186
FDR,32,64,Primary,62235,50590,812.8866393508476,1.00000000000000000000
FDR,32,64,FDR,62391,50590,810.854129602026,.99749963937106320863
FDR,32,4,Primary,63742,197320,3095.6041542468074,1.00000000000000000000
FDR,32,4,FDR,64296,197320,3068.9311932313053,.99138360084608688991
KuaFu,32,4,Primary,62223,198810,3195.1207752760233,1.00000000000000000000
KuaFu,32,4,KuaFu,64921,192377,2963.247639438702,.92742899184545222368
FDR,32,2,Primary,60991,214618,3518.8470430063453,1.00000000000000000000
FDR,32,2,FDR,61317,214618,3500.138623872662,.99468336676614972594
FDR+RO,32,128,Primary,61360,29240,476.5319426336375,1.00000000000000000000
FDR+RO,32,128,FDR+RO,61373,29240,476.431003861633,.99978818047023953075
FDR+RO,32,16,Primary,61229,125599,2051.2992209573895,1.00000000000000000000
FDR+RO,32,16,FDR+RO,61369,125599,2046.6196288028157,.99771871791947070282
FDR+RO,32,64,Primary,61075,50296,823.5120753172329,1.00000000000000000000
FDR+RO,32,64,FDR+RO,61367,50296,819.5935926475141,.99524174230449587018
KuaFu+RO,32,4,Primary,62237,198156,3183.8938252165112,1.00000000000000000000
KuaFu+RO,32,4,KuaFu+RO,64499,193480,2999.7364300221707,.94215969334912811491
FDR,32,1,Primary,62002,232886,3756.1046417857488,1.00000000000000000000
FDR,32,1,FDR,62599,232886,3720.2830716145627,.99046310643940004723
FDR+RO,32,4,Primary,61057,194932,3192.6232864372637,1.00000000000000000000
FDR+RO,32,4,FDR+RO,61175,194932,3186.465059256232,.99807110747854506962
KuaFu,32,32,Primary,62129,85438,1375.171015145906,1.00000000000000000000
KuaFu,32,32,KuaFu,64018,37997,593.536192945734,.43160900455915997951
KuaFu,32,2,Primary,61089,215070,3520.6010902126404,1.00000000000000000000
KuaFu,32,2,KuaFu,61088,215070,3520.658721843897,1.00001636982713458147
FDR,32,128,Primary,61269,29081,474.6446000424358,1.00000000000000000000
FDR,32,128,FDR,61347,29081,474.04111040474675,.99872854418308963221
KuaFu,32,32,Primary,62249,84550,1358.2547510803386,1.00000000000000000000
KuaFu,32,32,KuaFu,63782,38399,602.0350569126085,.44324163521884053955
KuaFu+RO,32,16,Primary,62107,128170,2063.696523741285,1.00000000000000000000
KuaFu+RO,32,16,KuaFu+RO,64692,72716,1124.033883633216,.54467014442387573475
FDR+RO,32,128,Primary,61176,29003,474.0911468549758,1.00000000000000000000
FDR+RO,32,128,FDR+RO,61306,29003,473.08583172935766,.99787948977261609717
KuaFu,32,1,Primary,62315,233609,3748.8405680815213,1.00000000000000000000
KuaFu,32,1,KuaFu,62121,233609,3760.5479628467024,1.00312293749295729294
FDR,32,64,Primary,62404,51202,820.4922761361452,1.00000000000000000000
FDR,32,64,FDR,62259,51202,822.4031866878685,1.00232898054899692983
FDR,32,128,Primary,62087,29323,472.28888495176125,1.00000000000000000000
FDR,32,128,FDR,62208,29323,471.3702417695473,.99805491255144025126
FDR+RO,32,1,Primary,61059,228197,3737.3196416580686,1.00000000000000000000
FDR+RO,32,1,FDR+RO,61416,228197,3715.595284616387,.99418718249316144930
FDR+RO,32,32,Primary,62097,83061,1337.6008502826223,1.00000000000000000000
FDR+RO,32,32,FDR+RO,62428,83061,1330.508746075479,.99469789197155129945
KuaFu+RO,32,128,Primary,64532,30053,465.70693609372097,1.00000000000000000000
KuaFu+RO,32,128,KuaFu+RO,65833,9511,144.47161757781052,.31022002547270714967
KuaFu,32,64,Primary,61400,50718,826.0260586319218,1.00000000000000000000
KuaFu,32,64,KuaFu,62907,19505,310.0608835264756,.37536453031518597727
FDR,32,1,Primary,62074,232848,3751.1357412121015,1.00000000000000000000
FDR,32,1,FDR,62270,232848,3739.3287297253896,.99685241689417064129
FDR+RO,32,8,Primary,62101,166724,2684.7232733772403,1.00000000000000000000
FDR+RO,32,8,FDR+RO,62267,166724,2677.565965920953,.99733406138082760959
FDR+RO,32,256,Primary,62288,16637,267.0979964038017,1.00000000000000000000
FDR+RO,32,256,FDR+RO,63428,16538,260.73658321246137,.97618322384671476419
FDR,32,1,Primary,61091,229755,3760.8649391890785,1.00000000000000000000
FDR,32,1,FDR,61446,229755,3739.1368030465774,.99422256941053933654
